Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,Discount_Applied,Customer_Category,Season,Promotion
1000006305,16/8/2023 7:24,Aaron Andrews,"['Water', 'Chips', 'Extension Cords', 'Dustpan', 'Shrimp']",1,66.29,Debit Card,TRUE,Retiree,Winter,BOGO (Buy One Get One)
1000014559,18/5/2023 21:25,Aaron Armstrong,"['Pickles', 'Power Strips']",6,30.8,Debit Card,FALSE,Senior Citizen,Summer,BOGO (Buy One Get One)
1000009117,25/5/2022 20:04,Aaron Brennan,"['Peanut Butter', 'Soda']",2,54.14,Mobile Payment,FALSE,Homemaker,Spring,Discount on Selected Items
1000026828,1/3/2023 1:19,Aaron Brown,"['Baby Wipes', 'Deodorant', 'Peanut Butter', 'Onions', 'Yogurt']",5,90.86,Cash,TRUE,Professional,Summer,Discount on Selected Items
1000016542,11/5/2022 1:10,Aaron Campbell,"['Paper Towels', 'Apple', 'Garden Hose', 'Trash Cans', 'Paper Towels']",5,78.99,Cash,FALSE,Homemaker,Summer,BOGO (Buy One Get One)
1000010623,24/1/2022 20:11,Aaron Castaneda,['Milk'],6,82.38,Mobile Payment,FALSE,Homemaker,Summer,None
1000020525,18/7/2022 20:32,Aaron Cooper,"['Ice Cream', 'Iron', 'Tea', 'Shower Gel']",8,42.3,Credit Card,TRUE,Homemaker,Summer,Discount on Selected Items
1000012289,20/3/2023 15:02,Aaron Delacruz,"['Peanut Butter', 'Paper Towels']",6,99.73,Debit Card,FALSE,Young Adult,Spring,BOGO (Buy One Get One)
1000010869,29/7/2023 9:04,Aaron Dunn,"['Feminine Hygiene Products', 'Soda', 'Dustpan']",6,39.64,Debit Card,FALSE,Senior Citizen,Summer,None
1000016501,16/2/2023 5:20,Aaron Freeman,"['Toothpaste', 'Bath Towels']",5,11.94,Mobile Payment,TRUE,Young Adult,Spring,None
1000027766,3/2/2023 12:24,Aaron Fuentes,"['Paper Towels', 'Toilet Paper']",5,54.65,Debit Card,FALSE,Retiree,Fall,Discount on Selected Items
1000009723,25/8/2022 22:48,Aaron Gonzalez,"['Shaving Cream', 'Salmon', 'Vinegar', 'Toilet Paper']",8,7.21,Cash,FALSE,Middle-Aged,Winter,BOGO (Buy One Get One)
1000019914,20/8/2023 0:12,Aaron Gray,"['Yogurt', 'Iron', 'Butter', 'Extension Cords', 'Hair Gel']",2,23.94,Mobile Payment,TRUE,Teenager,Fall,None
1000029642,18/4/2022 17:19,Aaron Green,['Canned Soup'],10,43.43,Cash,TRUE,Homemaker,Fall,Discount on Selected Items
1000002030,8/12/2022 9:56,Aaron Higgins,"['Broom', 'Olive Oil', 'Tomatoes', 'Shower Gel', 'Dustpan']",4,56,Cash,FALSE,Homemaker,Fall,None
1000012189,8/1/2023 1:44,Aaron Humphrey,"['Honey', 'Pickles', 'Toothpaste']",3,79.16,Mobile Payment,TRUE,Senior Citizen,Spring,None
1000007075,11/9/2023 16:28,Aaron Kennedy,['Bread'],4,35.71,Debit Card,FALSE,Homemaker,Fall,None
1000024550,27/2/2023 4:44,Aaron Kirby,"['Milk', 'Light Bulbs', 'Ironing Board']",7,60.27,Cash,TRUE,Senior Citizen,Summer,None
1000017512,1/12/2022 0:51,Aaron Kline,"['Dish Soap', 'Eggs', 'Deodorant', 'Bath Towels']",1,27.04,Credit Card,FALSE,Professional,Fall,BOGO (Buy One Get One)
1000027266,6/7/2022 0:52,Aaron Lee,"['Feminine Hygiene Products', 'Tea', 'Pasta', 'Beef', 'Shampoo']",1,53.33,Mobile Payment,FALSE,Professional,Winter,BOGO (Buy One Get One)
1000006867,13/7/2022 17:55,Aaron Little,"['Butter', 'Diapers', 'Air Freshener', 'Milk']",6,8.31,Cash,TRUE,Young Adult,Spring,Discount on Selected Items
1000005463,4/4/2023 23:25,Aaron Mack,"['Eggs', 'Broom', 'Ketchup', 'Rice', 'Rice']",3,80.87,Debit Card,TRUE,Professional,Spring,None
1000020636,27/8/2022 2:53,Aaron Martinez,"['Insect Repellent', 'Chicken']",7,25.12,Mobile Payment,FALSE,Student,Spring,None
1000003385,2/11/2022 3:32,Aaron Mathis,"['Air Freshener', 'Peanut Butter', 'Pasta', 'Paper Towels']",5,58.75,Mobile Payment,TRUE,Young Adult,Summer,None
1000015747,30/6/2023 16:06,Aaron Mckay,"['Chicken', 'Shower Gel', 'Ironing Board']",10,76.04,Debit Card,FALSE,Middle-Aged,Spring,BOGO (Buy One Get One)
1000011737,22/12/2022 12:43,Aaron Mendoza,"['Spinach', 'Spinach']",6,27.2,Credit Card,TRUE,Retiree,Fall,None
1000006725,3/3/2023 12:21,Aaron Moore,"['Broom', 'Orange', 'Shrimp']",7,91.75,Mobile Payment,FALSE,Young Adult,Fall,BOGO (Buy One Get One)
1000001744,6/1/2022 3:39,Aaron Nielsen,"['Apple', 'Diapers', 'Insect Repellent', 'Coffee', 'Deodorant']",7,52.58,Debit Card,TRUE,Senior Citizen,Fall,Discount on Selected Items
1000015361,24/8/2023 9:06,Aaron Phillips,"['Peanut Butter', 'Mustard', 'Plant Fertilizer', 'Toothpaste', 'Paper Towels']",8,14.65,Mobile Payment,FALSE,Professional,Summer,None
1000021732,30/1/2023 21:21,Aaron Pierce,"['Butter', 'Hand Sanitizer', 'Pickles']",6,47.94,Mobile Payment,FALSE,Retiree,Spring,BOGO (Buy One Get One)
1000024850,23/8/2022 17:46,Aaron Proctor,"['Potatoes', 'Lawn Mower', 'Tissues', 'Razors']",3,84.39,Debit Card,TRUE,Retiree,Summer,None
